team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
Sri Lanka,India,171,163,8,10,home,away,Sri Lanka,Sri Lanka,1998-07-01 00:00:00
Sri Lanka,New Zealand,293,206,4,10,home,away,Sri Lanka,Sri Lanka,1998-07-05 00:00:00
India,Sri Lanka,307,301,6,10,away,home,India,Sri Lanka,1998-07-07 00:00:00
Sri Lanka,South Africa,258,201,10,10,away,away,Sri Lanka,England,1998-08-14 00:00:00
England,Sri Lanka,247,211,10,10,home,away,England,England,1998-08-16 00:00:00
South Africa,England,244,230,7,10,away,home,South Africa,England,1998-08-18 00:00:00
England,Sri Lanka,256,260,8,5,home,away,Sri Lanka,England,1998-08-20 00:00:00
Pakistan,India,189,193,9,4,away,away,India,Canada,1998-09-12 00:00:00
Pakistan,India,246,195,9,10,away,away,Pakistan,Canada,1998-09-13 00:00:00
Pakistan,India,257,180,5,10,away,away,Pakistan,Canada,1998-09-16 00:00:00
Pakistan,India,316,182,6,10,away,away,Pakistan,Canada,1998-09-19 00:00:00
India,Pakistan,256,258,9,5,away,away,Pakistan,Canada,1998-09-20 00:00:00
Zimbabwe,India,213,216,10,2,home,away,India,Zimbabwe,1998-09-26 00:00:00
Zimbabwe,India,235,236,7,2,home,away,India,Zimbabwe,1998-09-27 00:00:00
Zimbabwe,India,259,222,5,10,home,away,Zimbabwe,Zimbabwe,1998-09-30 00:00:00
Zimbabwe,New Zealand,258,260,7,5,away,away,New Zealand,Bangladesh,1998-10-24 00:00:00
England,South Africa,281,283,7,4,away,away,South Africa,Bangladesh,1998-10-25 00:00:00
New Zealand,Sri Lanka,188,191,10,5,away,away,Sri Lanka,Bangladesh,1998-10-26 00:00:00
India,Australia,307,263,8,10,away,away,India,Bangladesh,1998-10-28 00:00:00
West Indies,Pakistan,289,259,9,9,away,away,West Indies,Bangladesh,1998-10-29 00:00:00
South Africa,Sri Lanka,240,132,7,10,away,away,South Africa,Bangladesh,1998-10-30 00:00:00
India,West Indies,242,245,6,4,away,away,West Indies,Bangladesh,1998-10-31 00:00:00
West Indies,South Africa,245,248,10,6,away,away,South Africa,Bangladesh,1998-11-01 00:00:00
Australia,Pakistan,324,238,8,10,away,home,Australia,Pakistan,1998-11-06 00:00:00
Sri Lanka,India,245,248,7,7,away,away,India,United Arab Emirates,1998-11-06 00:00:00
Sri Lanka,Zimbabwe,196,197,10,3,away,away,Zimbabwe,United Arab Emirates,1998-11-07 00:00:00
Pakistan,Australia,217,220,7,5,home,away,Australia,Pakistan,1998-11-08 00:00:00
Zimbabwe,India,196,197,10,3,away,away,India,United Arab Emirates,1998-11-08 00:00:00
India,Sri Lanka,179,98,10,10,away,away,India,United Arab Emirates,1998-11-09 00:00:00
Pakistan,Australia,315,316,8,4,home,away,Australia,Pakistan,1998-11-10 00:00:00
Zimbabwe,Sri Lanka,259,235,7,10,away,away,Zimbabwe,United Arab Emirates,1998-11-10 00:00:00
Zimbabwe,India,205,192,7,10,away,away,Zimbabwe,United Arab Emirates,1998-11-11 00:00:00
Zimbabwe,India,196,197,9,0,away,away,India,United Arab Emirates,1998-11-13 00:00:00
Zimbabwe,Pakistan,237,241,10,6,away,home,Pakistan,Pakistan,1998-11-20 00:00:00
Pakistan,Zimbabwe,211,212,10,4,home,away,Zimbabwe,Pakistan,1998-11-22 00:00:00
Pakistan,Zimbabwe,302,191,6,10,home,away,Pakistan,Pakistan,1998-11-24 00:00:00
India,New Zealand,257,200,5,5,away,home,New Zealand,New Zealand,1999-01-09 00:00:00
England,Australia,178,145,8,9,away,home,England,Australia,1999-01-10 00:00:00
Sri Lanka,England,207,208,7,6,away,away,England,Australia,1999-01-11 00:00:00
New Zealand,India,213,214,10,8,home,away,India,New Zealand,1999-01-12 00:00:00
Sri Lanka,Australia,259,260,9,2,away,home,Australia,Australia,1999-01-13 00:00:00
England,Australia,178,182,10,1,away,home,Australia,Australia,1999-01-15 00:00:00
New Zealand,India,207,208,7,5,home,away,India,New Zealand,1999-01-16 00:00:00
England,Australia,282,275,4,6,away,home,England,Australia,1999-01-17 00:00:00
New Zealand,India,300,230,8,10,home,away,New Zealand,New Zealand,1999-01-19 00:00:00
Sri Lanka,England,186,189,10,3,away,away,England,Australia,1999-01-19 00:00:00
Australia,Sri Lanka,210,211,9,7,home,away,Sri Lanka,Australia,1999-01-21 00:00:00
West Indies,South Africa,154,160,4,8,away,home,South Africa,South Africa,1999-01-22 00:00:00
England,Sri Lanka,302,303,3,9,away,away,Sri Lanka,Australia,1999-01-23 00:00:00
Australia,Sri Lanka,270,190,10,10,home,away,Australia,Australia,1999-01-24 00:00:00
West Indies,South Africa,292,249,9,10,away,home,West Indies,South Africa,1999-01-24 00:00:00
Australia,England,239,223,8,10,home,away,Australia,Australia,1999-01-26 00:00:00
South Africa,West Indies,274,219,9,10,home,away,South Africa,South Africa,1999-01-27 00:00:00
England,Sri Lanka,227,99,7,10,away,away,England,Australia,1999-01-29 00:00:00
South Africa,West Indies,278,179,6,10,home,away,South Africa,South Africa,1999-01-30 00:00:00
Australia,Sri Lanka,274,229,7,10,home,away,Australia,Australia,1999-01-31 00:00:00
South Africa,West Indies,221,132,8,10,home,away,South Africa,South Africa,1999-02-02 00:00:00
Sri Lanka,England,181,170,7,9,away,away,Sri Lanka,Australia,1999-02-03 00:00:00
England,Australia,210,211,8,6,away,home,Australia,Australia,1999-02-05 00:00:00
South Africa,West Indies,273,159,10,10,home,away,South Africa,South Africa,1999-02-05 00:00:00
Australia,Sri Lanka,310,267,8,10,home,away,Australia,Australia,1999-02-07 00:00:00
South Africa,West Indies,226,176,8,10,home,away,South Africa,South Africa,1999-02-07 00:00:00
Australia,England,232,222,8,10,home,away,Australia,Australia,1999-02-10 00:00:00
Australia,England,272,110,5,10,home,away,Australia,Australia,1999-02-13 00:00:00
South Africa,New Zealand,211,215,10,7,away,home,New Zealand,New Zealand,1999-02-14 00:00:00
New Zealand,South Africa,220,224,9,3,home,away,South Africa,New Zealand,1999-02-17 00:00:00
South Africa,New Zealand,212,215,7,3,away,home,New Zealand,New Zealand,1999-02-20 00:00:00
Pakistan,Bangladesh,293,141,7,10,away,home,Pakistan,Bangladesh,1999-03-16 00:00:00
Pakistan,Sri Lanka,246,237,9,10,away,away,Pakistan,India,1999-03-19 00:00:00
Zimbabwe,Kenya,272,139,6,10,away,away,Zimbabwe,Bangladesh,1999-03-19 00:00:00
Bangladesh,Kenya,213,215,10,2,home,away,Kenya,Bangladesh,1999-03-20 00:00:00
Zimbabwe,Bangladesh,310,184,6,10,away,home,Zimbabwe,Bangladesh,1999-03-21 00:00:00
India,Sri Lanka,287,207,4,10,home,away,India,India,1999-03-22 00:00:00
Zimbabwe,Kenya,280,216,6,8,away,away,Zimbabwe,Bangladesh,1999-03-23 00:00:00
Pakistan,India,278,135,9,10,away,home,Pakistan,India,1999-03-24 00:00:00
Kenya,Bangladesh,231,158,10,10,away,home,Kenya,Bangladesh,1999-03-24 00:00:00
Bangladesh,Zimbabwe,257,261,5,7,home,away,Zimbabwe,Bangladesh,1999-03-25 00:00:00
New Zealand,South Africa,191,194,10,8,home,away,South Africa,New Zealand,1999-03-26 00:00:00
South Africa,New Zealand,290,147,5,10,away,home,South Africa,New Zealand,1999-03-27 00:00:00
Sri Lanka,Pakistan,253,241,8,10,away,away,Sri Lanka,India,1999-03-27 00:00:00
Zimbabwe,Kenya,325,123,6,10,away,away,Zimbabwe,Bangladesh,1999-03-27 00:00:00
India,Sri Lanka,286,235,6,10,home,away,India,India,1999-03-30 00:00:00
India,Pakistan,196,197,10,3,home,away,Pakistan,India,1999-04-01 00:00:00
Pakistan,India,291,168,8,10,away,home,Pakistan,India,1999-04-04 00:00:00
Pakistan,England,323,233,5,10,away,away,Pakistan,United Arab Emirates,1999-04-07 00:00:00
Pakistan,India,279,163,8,6,away,away,Pakistan,United Arab Emirates,1999-04-08 00:00:00
India,England,222,202,5,10,away,away,India,United Arab Emirates,1999-04-09 00:00:00
India,England,239,230,6,10,away,away,India,United Arab Emirates,1999-04-11 00:00:00
West Indies,Australia,209,165,10,10,home,away,West Indies,West Indies,1999-04-11 00:00:00
England,Pakistan,206,144,10,10,away,away,England,United Arab Emirates,1999-04-12 00:00:00
Pakistan,India,205,206,9,4,away,away,India,United Arab Emirates,1999-04-13 00:00:00
Australia,West Indies,288,242,4,10,away,away,Australia,Grenada,1999-04-14 00:00:00
India,Pakistan,125,129,10,2,away,away,Pakistan,United Arab Emirates,1999-04-16 00:00:00
Australia,West Indies,242,244,7,5,away,home,West Indies,West Indies,1999-04-17 00:00:00
Australia,West Indies,189,169,9,10,away,home,Australia,West Indies,1999-04-18 00:00:00
West Indies,Australia,173,173,5,7,away,away,Match tied,Guyana,1999-04-21 00:00:00
West Indies,Australia,249,253,8,6,home,away,Australia,West Indies,1999-04-24 00:00:00
Australia,West Indies,252,197,9,2,away,home,West Indies,West Indies,1999-04-25 00:00:00
Sri Lanka,England,204,207,10,2,away,home,England,England,1999-05-14 00:00:00
India,South Africa,253,254,5,6,away,away,South Africa,England,1999-05-15 00:00:00
Kenya,Zimbabwe,229,231,7,5,away,away,Zimbabwe,England,1999-05-15 00:00:00
Scotland,Australia,181,182,7,4,away,away,Australia,England,1999-05-16 00:00:00
Pakistan,West Indies,229,202,8,10,away,away,Pakistan,England,1999-05-16 00:00:00
Bangladesh,New Zealand,116,117,10,4,away,away,New Zealand,England,1999-05-17 00:00:00
Kenya,England,203,204,10,1,away,home,England,England,1999-05-18 00:00:00
Zimbabwe,India,252,249,9,10,away,away,Zimbabwe,England,1999-05-19 00:00:00
South Africa,Sri Lanka,199,110,9,10,away,away,South Africa,England,1999-05-19 00:00:00
Australia,New Zealand,213,214,8,5,away,away,New Zealand,Wales,1999-05-20 00:00:00
Pakistan,Scotland,261,167,6,10,away,away,Pakistan,England,1999-05-20 00:00:00
Bangladesh,West Indies,182,183,10,3,away,away,West Indies,Ireland,1999-05-21 00:00:00
South Africa,England,225,103,7,10,away,home,South Africa,England,1999-05-22 00:00:00
Zimbabwe,Sri Lanka,197,198,9,6,away,away,Sri Lanka,England,1999-05-22 00:00:00
India,Kenya,329,235,2,7,away,away,India,England,1999-05-23 00:00:00
Pakistan,Australia,275,265,8,10,away,away,Pakistan,England,1999-05-23 00:00:00
Bangladesh,Scotland,185,163,9,10,away,away,Bangladesh,Midlothian,1999-05-24 00:00:00
New Zealand,West Indies,156,158,10,3,away,away,West Indies,England,1999-05-24 00:00:00
Zimbabwe,England,167,168,8,3,away,home,England,England,1999-05-25 00:00:00
Kenya,South Africa,152,153,10,3,away,away,South Africa,Netherlands,1999-05-26 00:00:00
India,Sri Lanka,373,216,6,10,away,away,India,England,1999-05-26 00:00:00
Bangladesh,Australia,178,181,7,3,away,away,Australia,England,1999-05-27 00:00:00
Scotland,West Indies,68,70,10,2,away,away,West Indies,England,1999-05-27 00:00:00
Pakistan,New Zealand,269,207,8,8,away,away,Pakistan,England,1999-05-28 00:00:00
Zimbabwe,South Africa,233,185,6,10,away,away,Zimbabwe,England,1999-05-29 00:00:00
Sri Lanka,Kenya,275,230,8,6,away,away,Sri Lanka,England,1999-05-30 00:00:00
West Indies,Australia,110,111,10,4,away,away,Australia,England,1999-05-30 00:00:00
Bangladesh,Pakistan,223,161,9,10,away,away,Bangladesh,England,1999-05-31 00:00:00
Scotland,New Zealand,121,123,10,4,away,away,New Zealand,Midlothian,1999-05-31 00:00:00
Australia,India,282,205,6,10,away,away,Australia,England,1999-06-04 00:00:00
Pakistan,South Africa,220,221,7,7,away,away,South Africa,England,1999-06-05 00:00:00
India,Pakistan,227,180,6,10,away,away,India,England,1999-06-08 00:00:00
Australia,Zimbabwe,303,259,4,6,away,away,Australia,England,1999-06-09 00:00:00
South Africa,New Zealand,287,213,5,8,away,away,South Africa,England,1999-06-10 00:00:00
Pakistan,Zimbabwe,271,123,9,10,away,away,Pakistan,England,1999-06-11 00:00:00
India,New Zealand,251,253,6,5,away,away,New Zealand,England,1999-06-12 00:00:00
South Africa,Australia,271,272,7,5,away,away,Australia,England,1999-06-13 00:00:00
New Zealand,Pakistan,241,242,7,1,away,away,Pakistan,England,1999-06-16 00:00:00
Australia,South Africa,213,213,10,10,away,away,Match tied,England,1999-06-17 00:00:00
Pakistan,Australia,132,133,10,2,away,away,Australia,England,1999-06-20 00:00:00
Australia,Sri Lanka,205,160,9,10,away,home,Australia,Sri Lanka,1999-08-22 00:00:00
India,Australia,151,159,7,2,away,away,Australia,Sri Lanka,1999-08-23 00:00:00
India,Sri Lanka,205,206,8,3,away,home,Sri Lanka,Sri Lanka,1999-08-25 00:00:00
Australia,Sri Lanka,241,214,9,10,away,home,Australia,Sri Lanka,1999-08-26 00:00:00
Australia,India,252,211,8,10,away,away,Australia,Sri Lanka,1999-08-28 00:00:00
India,Sri Lanka,296,247,4,9,away,home,India,Sri Lanka,1999-08-29 00:00:00
Australia,Sri Lanka,202,208,10,2,away,home,Sri Lanka,Sri Lanka,1999-08-31 00:00:00
Zimbabwe,West Indies,244,247,9,4,away,away,West Indies,Singapore,1999-09-02 00:00:00
India,Zimbabwe,245,130,6,8,away,away,India,Singapore,1999-09-04 00:00:00
West Indies,India,196,154,7,8,away,away,West Indies,Singapore,1999-09-05 00:00:00
India,West Indies,254,255,6,6,away,away,West Indies,Singapore,1999-09-08 00:00:00
West Indies,India,163,165,10,2,away,away,India,Canada,1999-09-11 00:00:00
West Indies,India,190,120,6,10,away,away,West Indies,Canada,1999-09-12 00:00:00
India,West Indies,225,137,7,10,away,away,India,Canada,1999-09-14 00:00:00
Pakistan,West Indies,230,215,6,9,away,away,Pakistan,Canada,1999-09-16 00:00:00
Pakistan,West Indies,222,180,5,10,away,away,Pakistan,Canada,1999-09-18 00:00:00
West Indies,Pakistan,161,162,10,3,away,away,Pakistan,Canada,1999-09-19 00:00:00
Kenya,Zimbabwe,199,200,8,7,home,away,Zimbabwe,Kenya,1999-09-25 00:00:00
South Africa,India,117,120,10,2,away,away,India,Kenya,1999-09-26 00:00:00
Zimbabwe,South Africa,216,217,10,1,away,away,South Africa,Kenya,1999-09-28 00:00:00
India,Kenya,220,162,7,10,away,home,India,Kenya,1999-09-29 00:00:00
South Africa,Kenya,220,196,7,10,away,home,South Africa,Kenya,1999-09-30 00:00:00
India,Zimbabwe,277,170,6,10,away,away,India,Kenya,1999-10-01 00:00:00
South Africa,India,235,209,9,10,away,away,South Africa,Kenya,1999-10-03 00:00:00
West Indies,Bangladesh,292,219,6,5,away,home,West Indies,Bangladesh,1999-10-08 00:00:00
West Indies,Bangladesh,314,205,6,10,away,home,West Indies,Bangladesh,1999-10-09 00:00:00
Sri Lanka,West Indies,178,181,10,7,away,away,West Indies,United Arab Emirates,1999-10-13 00:00:00
Pakistan,West Indies,260,130,5,10,away,away,Pakistan,United Arab Emirates,1999-10-14 00:00:00
Pakistan,Sri Lanka,196,196,10,10,away,away,Match tied,United Arab Emirates,1999-10-15 00:00:00
West Indies,Sri Lanka,145,146,10,1,away,away,Sri Lanka,United Arab Emirates,1999-10-17 00:00:00
Pakistan,Sri Lanka,239,121,8,10,away,away,Pakistan,United Arab Emirates,1999-10-18 00:00:00
Pakistan,West Indies,255,117,5,10,away,away,Pakistan,United Arab Emirates,1999-10-19 00:00:00
Australia,Zimbabwe,303,220,6,10,away,home,Australia,Zimbabwe,1999-10-21 00:00:00
Pakistan,Sri Lanka,211,123,9,10,away,away,Pakistan,United Arab Emirates,1999-10-22 00:00:00
Zimbabwe,Australia,116,117,10,1,home,away,Australia,Zimbabwe,1999-10-23 00:00:00
Zimbabwe,Australia,200,201,9,1,home,away,Australia,Zimbabwe,1999-10-24 00:00:00
New Zealand,India,349,306,9,10,away,home,New Zealand,India,1999-11-05 00:00:00
India,New Zealand,376,202,2,10,home,away,India,India,1999-11-08 00:00:00
India,New Zealand,261,247,5,8,home,away,India,India,1999-11-11 00:00:00
New Zealand,India,236,188,9,10,away,home,New Zealand,India,1999-11-14 00:00:00
New Zealand,India,179,181,9,3,away,home,India,India,1999-11-17 00:00:00
Sri Lanka,Zimbabwe,213,200,10,10,away,home,Sri Lanka,Zimbabwe,1999-12-12 00:00:00
Sri Lanka,Zimbabwe,248,150,7,10,away,home,Sri Lanka,Zimbabwe,1999-12-15 00:00:00
Zimbabwe,Sri Lanka,260,262,4,4,home,away,Sri Lanka,Zimbabwe,1999-12-18 00:00:00
Sri Lanka,Zimbabwe,202,206,10,4,away,home,Zimbabwe,Zimbabwe,1999-12-19 00:00:00
West Indies,New Zealand,268,250,7,7,away,home,New Zealand,New Zealand,2000-01-02 00:00:00
West Indies,New Zealand,192,194,10,3,away,home,New Zealand,New Zealand,2000-01-04 00:00:00
West Indies,New Zealand,159,160,10,6,away,home,New Zealand,New Zealand,2000-01-06 00:00:00
West Indies,New Zealand,171,172,9,2,away,home,New Zealand,New Zealand,2009-01-08 20:00:00
Pakistan,Australia,184,139,8,10,away,home,Pakistan,Australia,2000-01-09 00:00:00
India,Pakistan,195,196,10,8,away,away,Pakistan,Australia,2000-01-10 00:00:00
New Zealand,West Indies,302,282,6,10,home,away,New Zealand,New Zealand,2000-01-11 00:00:00
Australia,India,269,241,7,6,home,away,Australia,Australia,2000-01-12 00:00:00
India,Australia,100,101,10,5,away,home,Australia,Australia,2000-01-14 00:00:00
Pakistan,Australia,176,177,9,4,away,home,Australia,Australia,2000-01-16 00:00:00
Australia,Pakistan,286,205,10,10,home,away,Australia,Australia,2000-01-19 00:00:00
Pakistan,India,262,230,7,10,away,away,Pakistan,Australia,2000-01-21 00:00:00
Zimbabwe,South Africa,226,229,10,4,away,home,South Africa,South Africa,2000-01-21 00:00:00
Australia,Pakistan,260,245,9,10,home,away,Australia,Australia,2000-01-23 00:00:00
South Africa,England,184,185,10,1,home,away,England,South Africa,2000-01-23 00:00:00
India,Pakistan,267,219,6,10,away,away,India,Australia,2000-01-25 00:00:00
Australia,India,329,177,5,10,home,away,Australia,Australia,2000-01-26 00:00:00
South Africa,England,204,203,7,9,home,away,South Africa,South Africa,2000-01-26 00:00:00
Pakistan,India,261,157,8,10,away,away,Pakistan,Australia,2000-01-28 00:00:00
Zimbabwe,England,211,107,7,10,away,away,Zimbabwe,South Africa,2000-01-28 00:00:00
India,Australia,226,230,6,6,away,home,Australia,Australia,2000-01-30 00:00:00
Zimbabwe,England,161,162,9,2,away,away,England,South Africa,2000-01-30 00:00:00
Pakistan,Australia,154,155,10,4,away,home,Australia,Australia,2000-02-02 00:00:00
South Africa,Zimbabwe,222,223,7,8,home,away,Zimbabwe,South Africa,2000-02-02 00:00:00
Australia,Pakistan,337,185,7,10,home,away,Australia,Australia,2000-02-04 00:00:00
England,South Africa,231,233,6,8,away,home,South Africa,South Africa,2000-02-04 00:00:00
South Africa,Zimbabwe,204,151,7,10,home,away,South Africa,South Africa,2000-02-06 00:00:00
Sri Lanka,Pakistan,274,245,8,10,away,home,Sri Lanka,Pakistan,2000-02-13 00:00:00
South Africa,England,149,111,10,10,home,away,South Africa,South Africa,2000-02-13 00:00:00
Sri Lanka,Pakistan,263,229,6,10,away,home,Sri Lanka,Pakistan,2000-02-16 00:00:00
Zimbabwe,England,194,199,7,5,home,away,England,Zimbabwe,2000-02-16 00:00:00
Zimbabwe,England,131,134,10,9,home,away,England,Zimbabwe,2000-02-18 00:00:00
New Zealand,Australia,122,123,10,5,home,away,Australia,New Zealand,2000-02-19 00:00:00
Sri Lanka,Pakistan,241,137,9,10,away,home,Sri Lanka,Pakistan,2000-02-19 00:00:00
England,Zimbabwe,248,163,7,10,away,home,England,Zimbabwe,2000-02-20 00:00:00
Australia,New Zealand,310,260,4,10,away,home,Australia,New Zealand,2000-02-23 00:00:00
Australia,New Zealand,349,301,6,9,away,home,Australia,New Zealand,2000-02-26 00:00:00
New Zealand,Australia,243,245,9,5,home,away,Australia,New Zealand,2000-03-01 00:00:00
Australia,New Zealand,191,194,10,3,away,home,New Zealand,New Zealand,2000-03-03 00:00:00
South Africa,India,301,302,3,7,away,home,India,India,2000-03-09 00:00:00
South Africa,India,199,203,10,4,away,home,India,India,2000-03-12 00:00:00
India,South Africa,248,251,8,8,home,away,South Africa,India,2000-03-15 00:00:00
South Africa,India,282,283,5,6,away,home,India,India,2000-03-17 00:00:00
South Africa,India,320,310,7,10,away,home,South Africa,India,2000-03-19 00:00:00
India,South Africa,164,168,10,0,away,away,South Africa,United Arab Emirates,2000-03-22 00:00:00
Pakistan,India,146,149,10,5,away,away,India,United Arab Emirates,2000-03-23 00:00:00
Pakistan,South Africa,196,199,8,7,away,away,South Africa,United Arab Emirates,2000-03-24 00:00:00
Pakistan,India,272,174,3,9,away,away,Pakistan,United Arab Emirates,2000-03-26 00:00:00
India,South Africa,164,167,10,4,away,away,South Africa,United Arab Emirates,2000-03-27 00:00:00
Pakistan,South Africa,168,101,10,10,away,away,Pakistan,United Arab Emirates,2000-03-28 00:00:00
Pakistan,South Africa,263,247,6,10,away,away,Pakistan,United Arab Emirates,2000-03-31 00:00:00
West Indies,Zimbabwe,237,150,9,10,home,away,West Indies,West Indies,2000-04-01 00:00:00
West Indies,Zimbabwe,280,239,3,8,home,away,West Indies,West Indies,2000-04-02 00:00:00
Zimbabwe,Pakistan,199,200,9,5,away,away,Pakistan,West Indies,2000-04-05 00:00:00
Australia,South Africa,240,241,9,4,away,home,South Africa,South Africa,2000-04-12 00:00:00
West Indies,Pakistan,213,117,7,10,home,away,West Indies,West Indies,2000-04-12 00:00:00
South Africa,Australia,144,145,9,5,home,away,Australia,South Africa,2000-04-14 00:00:00
Zimbabwe,Pakistan,204,205,7,4,away,away,Pakistan,Grenada,2000-04-15 00:00:00
Australia,South Africa,205,209,10,6,away,home,South Africa,South Africa,2000-04-16 00:00:00
West Indies,Pakistan,248,231,6,10,away,away,West Indies,Grenada,2000-04-16 00:00:00
Pakistan,West Indies,197,180,8,10,away,home,Pakistan,West Indies,2000-04-19 00:00:00
West Indies,Pakistan,208,148,8,10,home,away,West Indies,West Indies,2000-04-22 00:00:00
West Indies,Pakistan,114,116,10,6,home,away,Pakistan,West Indies,2000-04-23 00:00:00
Bangladesh,Sri Lanka,175,178,6,1,home,away,Sri Lanka,Bangladesh,2000-05-29 00:00:00
Bangladesh,India,249,252,6,2,home,away,India,Bangladesh,2031-05-30 20:00:00
Sri Lanka,India,276,205,8,10,away,away,Sri Lanka,Bangladesh,2000-06-01 00:00:00
Pakistan,Bangladesh,320,87,3,10,away,home,Pakistan,Bangladesh,2000-06-02 00:00:00
Pakistan,India,295,251,7,10,away,away,Pakistan,Bangladesh,2000-06-03 00:00:00
Sri Lanka,Pakistan,192,193,10,3,away,away,Pakistan,Bangladesh,2000-06-05 00:00:00
Pakistan,Sri Lanka,277,238,4,10,away,away,Pakistan,Bangladesh,2000-06-07 00:00:00
Pakistan,Sri Lanka,164,166,8,5,away,home,Sri Lanka,Sri Lanka,2000-07-05 00:00:00
Sri Lanka,South Africa,249,212,7,10,home,away,Sri Lanka,Sri Lanka,2000-07-06 00:00:00
West Indies,Zimbabwe,232,233,7,4,away,away,Zimbabwe,England,2000-07-06 00:00:00
South Africa,Pakistan,241,223,6,9,away,away,South Africa,Sri Lanka,2000-07-08 00:00:00
England,Zimbabwe,207,210,10,5,home,away,Zimbabwe,England,2000-07-08 00:00:00
Pakistan,Sri Lanka,240,244,6,4,away,home,Sri Lanka,Sri Lanka,2000-07-09 00:00:00
South Africa,Sri Lanka,167,168,10,2,away,home,Sri Lanka,Sri Lanka,2000-07-11 00:00:00
Zimbabwe,West Indies,256,186,4,8,away,away,Zimbabwe,England,2000-07-11 00:00:00
Pakistan,South Africa,153,156,10,3,away,away,South Africa,Sri Lanka,2000-07-12 00:00:00
Zimbabwe,England,114,115,10,2,away,home,England,England,2000-07-13 00:00:00
Sri Lanka,South Africa,294,264,7,9,home,away,Sri Lanka,Sri Lanka,2000-07-14 00:00:00
West Indies,England,169,171,8,0,away,home,England,England,2000-07-15 00:00:00
West Indies,Zimbabwe,287,290,5,4,away,away,Zimbabwe,England,2000-07-16 00:00:00
England,Zimbabwe,262,210,8,9,home,away,England,England,2000-07-18 00:00:00
West Indies,England,195,192,9,10,away,home,West Indies,England,2000-07-20 00:00:00
Zimbabwe,England,169,170,7,4,away,home,England,England,2000-07-22 00:00:00
Australia,South Africa,295,201,5,7,home,away,Australia,Australia,2000-08-16 00:00:00
South Africa,Australia,226,226,8,9,away,home,Match tied,Australia,2000-08-18 00:00:00
South Africa,Australia,206,198,7,9,away,home,South Africa,Australia,2000-08-20 00:00:00
Pakistan,New Zealand,191,179,6,10,away,away,Pakistan,Singapore,2000-08-20 00:00:00
Pakistan,South Africa,227,199,9,10,away,away,Pakistan,Singapore,2000-08-23 00:00:00
New Zealand,South Africa,158,159,10,2,away,away,South Africa,Singapore,2000-08-25 00:00:00
South Africa,Pakistan,197,121,7,10,away,away,South Africa,Singapore,2000-08-27 00:00:00
Zimbabwe,New Zealand,183,184,8,3,home,away,New Zealand,Zimbabwe,2000-09-27 00:00:00
Zimbabwe,New Zealand,273,252,5,10,home,away,Zimbabwe,Zimbabwe,2000-09-30 00:00:00
New Zealand,Zimbabwe,264,268,8,4,away,home,Zimbabwe,Zimbabwe,2000-10-01 00:00:00
Kenya,India,208,209,9,2,home,away,India,Kenya,2000-10-03 00:00:00
Sri Lanka,West Indies,287,179,6,10,away,away,Sri Lanka,Kenya,2000-10-04 00:00:00
Bangladesh,England,232,236,8,2,away,away,England,Kenya,2000-10-05 00:00:00
India,Australia,265,245,9,10,away,away,India,Kenya,2000-10-07 00:00:00
Sri Lanka,Pakistan,194,195,10,1,away,away,Pakistan,Kenya,2000-10-08 00:00:00
New Zealand,Zimbabwe,265,201,7,10,away,away,New Zealand,Kenya,2000-10-09 00:00:00
England,South Africa,182,184,10,2,away,away,South Africa,Kenya,2000-10-10 00:00:00
Pakistan,New Zealand,252,255,10,6,away,away,New Zealand,Kenya,2000-10-11 00:00:00
India,South Africa,295,200,6,10,away,away,India,Kenya,2000-10-13 00:00:00
India,New Zealand,264,265,6,6,away,away,New Zealand,Kenya,2000-10-15 00:00:00
India,Sri Lanka,224,225,8,5,away,away,Sri Lanka,United Arab Emirates,2000-10-20 00:00:00
Zimbabwe,Sri Lanka,225,229,4,3,away,away,Sri Lanka,United Arab Emirates,2000-10-21 00:00:00
New Zealand,South Africa,194,197,8,4,away,home,South Africa,South Africa,2000-10-22 00:00:00
India,Zimbabwe,265,252,8,6,away,away,India,United Arab Emirates,2000-10-22 00:00:00
Pakistan,England,304,306,9,5,home,away,England,Pakistan,2000-10-24 00:00:00
Sri Lanka,Zimbabwe,276,153,9,10,away,away,Sri Lanka,United Arab Emirates,2000-10-25 00:00:00
South Africa,New Zealand,324,189,4,10,home,away,South Africa,South Africa,2000-10-25 00:00:00
Zimbabwe,India,218,219,9,7,away,away,India,United Arab Emirates,2000-10-26 00:00:00
England,Pakistan,211,214,9,2,away,home,Pakistan,Pakistan,2000-10-27 00:00:00
Sri Lanka,India,294,226,5,10,away,away,Sri Lanka,United Arab Emirates,2000-10-27 00:00:00
New Zealand,South Africa,287,289,6,5,away,home,South Africa,South Africa,2000-10-28 00:00:00
Sri Lanka,India,299,54,5,10,away,away,Sri Lanka,United Arab Emirates,2000-10-29 00:00:00
England,Pakistan,158,161,10,4,away,home,Pakistan,Pakistan,2000-10-30 00:00:00
New Zealand,South Africa,114,158,5,4,away,home,South Africa,South Africa,2000-11-01 00:00:00
New Zealand,South Africa,256,258,9,7,away,home,South Africa,South Africa,2000-11-04 00:00:00
Zimbabwe,India,253,255,7,7,away,home,India,India,2000-12-02 00:00:00
