team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
South Africa,India,287,249,5,9,away,away,South Africa,United Arab Emirates,1996-04-19 00:00:00
India,England,158,162,10,4,away,home,England,England,1996-05-25 00:00:00
Australia,Zimbabwe,263,138,7,10,away,away,Australia,Sri Lanka,1996-08-26 00:00:00
India,Sri Lanka,226,230,5,1,away,home,Sri Lanka,Sri Lanka,1996-08-28 00:00:00
Pakistan,England,225,226,5,5,away,home,England,England,1996-08-29 00:00:00
Australia,Sri Lanka,228,232,9,6,away,home,Sri Lanka,Sri Lanka,1996-08-30 00:00:00
England,Pakistan,292,185,8,10,home,away,England,England,1996-08-31 00:00:00
Zimbabwe,India,226,229,10,3,away,away,India,Sri Lanka,1996-09-01 00:00:00
England,Pakistan,246,247,10,8,home,away,Pakistan,England,1996-09-01 00:00:00
Zimbabwe,Sri Lanka,227,228,5,4,away,home,Sri Lanka,Sri Lanka,1996-09-03 00:00:00
India,Australia,201,202,10,7,away,away,Australia,Sri Lanka,1996-09-06 00:00:00
Sri Lanka,Australia,234,184,3,10,home,away,Sri Lanka,Sri Lanka,1996-09-07 00:00:00
Pakistan,India,170,173,9,2,away,away,India,Canada,1996-09-16 00:00:00
India,Pakistan,264,266,6,8,away,away,Pakistan,Canada,1996-09-17 00:00:00
India,Pakistan,191,136,10,10,away,away,India,Canada,1996-09-18 00:00:00
Pakistan,India,258,161,8,10,away,away,Pakistan,Canada,1996-09-21 00:00:00
Pakistan,India,213,161,9,10,away,away,Pakistan,Canada,1996-09-23 00:00:00
Kenya,Sri Lanka,188,190,9,3,home,away,Sri Lanka,Kenya,1996-09-28 00:00:00
South Africa,Pakistan,321,259,8,10,away,away,South Africa,Kenya,1996-09-29 00:00:00
South Africa,Sri Lanka,169,170,10,8,away,away,Sri Lanka,Kenya,1996-10-01 00:00:00
Kenya,Pakistan,148,149,10,6,home,away,Pakistan,Kenya,1996-10-02 00:00:00
South Africa,Kenya,305,103,8,10,away,home,South Africa,Kenya,1996-10-03 00:00:00
Pakistan,Sri Lanka,371,289,9,10,away,away,Pakistan,Kenya,1996-10-04 00:00:00
Pakistan,South Africa,203,204,10,3,away,away,South Africa,Kenya,1996-10-06 00:00:00
South Africa,India,261,214,7,10,away,home,South Africa,India,1996-10-17 00:00:00
Australia,South Africa,219,220,7,3,away,away,South Africa,India,1996-10-19 00:00:00
Australia,India,215,216,7,8,away,home,India,India,1996-10-21 00:00:00
South Africa,India,249,222,6,7,away,home,South Africa,India,1996-10-23 00:00:00
Australia,South Africa,215,218,10,8,away,away,South Africa,India,1996-10-25 00:00:00
India,South Africa,185,188,10,5,home,away,South Africa,India,1996-10-29 00:00:00
Zimbabwe,Pakistan,237,239,9,7,away,home,Pakistan,Pakistan,1996-10-30 00:00:00
Australia,South Africa,238,239,6,2,away,away,South Africa,India,1996-11-01 00:00:00
Zimbabwe,Pakistan,195,196,10,1,away,home,Pakistan,Pakistan,1996-11-01 00:00:00
Pakistan,Zimbabwe,264,147,9,10,home,away,Pakistan,Pakistan,1996-11-03 00:00:00
India,Australia,289,284,6,10,home,away,India,India,1996-11-03 00:00:00
India,South Africa,220,185,7,10,home,away,India,India,1996-11-06 00:00:00
New Zealand,Sri Lanka,206,177,8,10,away,away,New Zealand,United Arab Emirates,1996-11-07 00:00:00
Sri Lanka,Pakistan,206,131,10,10,away,away,Sri Lanka,United Arab Emirates,1996-11-08 00:00:00
New Zealand,Pakistan,197,198,10,6,away,away,Pakistan,United Arab Emirates,1996-11-10 00:00:00
New Zealand,Sri Lanka,169,169,8,10,away,away,Match tied,United Arab Emirates,1996-11-11 00:00:00
Sri Lanka,Pakistan,189,193,10,2,away,away,Pakistan,United Arab Emirates,1996-11-12 00:00:00
New Zealand,Pakistan,192,196,10,6,away,away,Pakistan,United Arab Emirates,1996-11-13 00:00:00
Pakistan,New Zealand,160,119,10,10,away,away,Pakistan,United Arab Emirates,1996-11-15 00:00:00
Pakistan,New Zealand,228,217,8,10,home,away,Pakistan,Pakistan,1996-12-04 00:00:00
West Indies,Australia,172,173,10,5,away,home,Australia,Australia,1996-12-06 00:00:00
Pakistan,New Zealand,277,231,9,10,home,away,Pakistan,Pakistan,1996-12-06 00:00:00
West Indies,Australia,161,162,10,2,away,home,Australia,Australia,1996-12-08 00:00:00
Pakistan,New Zealand,234,235,4,3,home,away,New Zealand,Pakistan,1996-12-08 00:00:00
India,South Africa,267,193,6,10,home,away,India,India,1996-12-14 00:00:00
Pakistan,Australia,223,211,10,10,away,home,Pakistan,Australia,1996-12-15 00:00:00
England,Zimbabwe,152,153,10,8,away,home,Zimbabwe,Zimbabwe,1996-12-15 00:00:00
Pakistan,West Indies,176,177,10,3,away,away,West Indies,Australia,1996-12-17 00:00:00
Australia,Pakistan,199,203,10,6,home,away,Pakistan,Australia,1997-01-01 00:00:00
Zimbabwe,England,200,179,10,7,home,away,Zimbabwe,Zimbabwe,1997-01-01 00:00:00
Pakistan,West Indies,197,198,10,4,away,away,West Indies,Australia,1997-01-03 00:00:00
Zimbabwe,England,249,118,7,10,home,away,Zimbabwe,Zimbabwe,1997-01-03 00:00:00
Australia,West Indies,281,284,4,3,home,away,West Indies,Australia,1997-01-05 00:00:00
